22s54	557	948	218	17
30t1	837	998	195	25
24t6	6619	908	172	29
12s19	13377	946	181	23
12s57	13818	917	164	40
24t5	704	969	162	42
24s3	650	988	167	46
573	46429	1034	165	33
57t5	129518	882	182	63
22t59	399250	1109	216	20
74s2	612221	1217	190	114
75t2	640581	1083	171	21
587	789293	991	163	36
22s56	450650	888	168	32
25	598	749	159	22
641t2	7686	835	156	64
581s5	1117729	1023	278	19
52t1	11617	982	166	24
BB11008	err	1196	255	96
89	1409944	804	154	19
49	104255	1139	191	34
85t3	1640854	914	153	29
BB11010	err	1790	538	232
34s1	2792	822	155	16
43s3	138859	831	156	42
99	3701002	1057	233	29
12s58	3266760	808	159	29
22s46	6792	1019	171	24
12t118	5007352	921	180	22
66t4	2853975	853	159	19
BB11037	err	1934	884	357
BB11003	err	1500	317	194
86s8	5810	1038	145	16
10s8	36912	861	156	28
89s1	6165	865	151	14
82s2	18332	858	155	23
12s81	2546692	866	153	22
82s4	7977364	1125	215	31
BB11029	5475588	875	163	20
4t2	2407264	892	151	18
655	3150085	836	154	20
85s2	4534	885	155	21
62	1463944	850	154	21
22t43	523	1563	158	14
22t46	556	3415	151	14
22t54	1824	795	157	23
12s70	11415	5062	178	49
22s44	10891	844	150	16
581s10	1655508	4393	168	57
BB11021	9938913	927	177	26
78t5	37046	2159	153	24
46	5522	837	151	15
99t1	6606	811	157	20
82s5	8430520	850	156	31
BB11025	2413163	2463	156	16
BB11015	err	1096	257	87
12s64	5038075	838	160	40
23	475	820	148	15
22s24	6294	1064	157	22
82s3	17828	857	149	20
BB12020	8112049	895	162	27
35s0	1191	936	161	35
30t2	30775	882	164	47
BB11001	2998243	931	151	19
BB11017	err	1115	199	75
581s14	err	1141	157	20
BB11012	err	1278	262	159
BB11035	err	851	172	33
669	253012	862	197	22
BB11004	err	2253	320	163
104s13	277965	834	158	19
108	36427	876	159	27
12s80	err	920	154	26
134t2	7967	852	155	21
112	21294	883	158	21
BB11024	err	1450	383	168
130t2	9099	854	147	62
127	19921	851	155	19
119	77695	931	200	33
120s1	10303	846	187	21
130t3	5300	1073	181	19
12t82	7201	838	153	25
24t7	3622727	786	154	19
118s1	4329	979	161	16
134t3	10038	830	156	34
120	4022031	853	152	18
92s2	5249650	863	160	47
12s71	4004651	865	159	24
BB12025	47669607	1099	191	42
57t4	59331733	949	162	40
BB11009	64646517	978	193	48
