name	glocal	t_coffee	mafft	clustalw	
22s46.aln	2.032258	0.37096775	0.43548387	0.13978495	
BB12025.aln	6.606272	8.036586	8.090592	87.61847	
10s8.aln	5.623377	0.23376623	0.26623377	0.2922078	
46.aln	3.7826085	8.358696	15.358696	11.331522	
22t54.aln	1.889535	1.6104652	1.8604652	1.7674419	
57t5.aln	10.057291	3.152778	3.668403	3.984375	
12s19.aln	0.0	0.0	0.0	0.0	
12s58.aln	0.0	0.0	0.0	0.0	
BB11025.aln	2.7122302	24.999998	51.24101	31.564747	
669.aln	0.1754386	0.1754386	0.5614035	0.1754386	
82s3.aln	0.40800002	0.304	0.296	0.40800002	
99.aln	0.3383459	3.8270674	4.0902257	4.4210525	
23.aln	0.8984375	0.125	0.125	0.125	
12t118.aln	11.383065	3.153226	6.395161	19.85484	
134t3.aln	0.023255814	0.031007752	0.08527132	0.023255814	
35s0.aln	0.07829182	0.06761566	0.07829182	0.0569395	
BB11021.aln	NaN	67.42	66.18	54.934288	
22t46.aln	1.117647	0.27941176	0.27941176	0.28431374	
57t4.aln	4.992789	9.800481	10.105769	1.4759616	
BB11001.aln	0.15625	2.8802083	2.9479165	0.65625	
130t2.aln	0.0	0.19318181	0.011363637	0.011363637	
12t82.aln	0.11764706	0.12745099	0.11764706	0.11764706	
30t1.aln	0.0023364485	0.004672897	0.0023364485	0.018691588	
104s13.aln	0.0	0.0	0.0	0.0	
25.aln	0.036111113	5.6277776	6.766667	10.916667	
89.aln	4.272727	1.340909	3.3806818	3.7897727	
581s5.aln	0.0	0.08219178	0.0	0.0	
99t1.aln	0.31578946	0.17293233	0.23308271	0.13533835	
49.aln	3.2920167	8.90126	14.892857	17.010504	
66t4.aln	5.7745895	7.303279	11.159836	8.729507	
581s14.aln	NaN	2.741573	2.775281	2.719101	
75t2.aln	2.7538462	2.2923076	2.6307693	2.2461538	
89s1.aln	4.0689654	1.3333334	1.362069	1.3390805	
85s2.aln	0.041237112	0.12371134	0.12371134	0.041237112	
78t5.aln	0.062091503	0.0882353	0.0751634	0.022875817	
587.aln	0.43975905	0.84939754	0.7771084	0.43975905	
22s56.aln	8.824074	7.4212966	8.500001	10.268519	
52t1.aln	0.10294118	0.14705883	0.14705883	0.0	
655.aln	2.9318182	0.71590906	0.59090906	0.6590909	
74s2.aln	0.11734694	0.11989796	0.13520408	0.08928572	
BB12020.aln	1.248227	1.0992907	0.964539	1.1524823	
30t2.aln	0.0	0.0	0.0	0.0	
134t2.aln	0.0	0.016393442	0.0	0.0	
82s4.aln	0.69402987	0.32089552	0.6044776	0.41044778	
34s1.aln	0.07954545	0.03409091	0.03409091	0.0	
24t7.aln	3.0294116	1.789916	2.1134458	2.3025212	
82s2.aln	0.49618322	0.17557251	0.48854962	0.259542	
24s3.aln	1.88	0.005	0.005	0.005	
127.aln	3.3971632	0.6312057	0.7553191	0.6985816	
112.aln	1.9647887	0.57746476	0.59859157	1.5140845	
641t2.aln	0.25263157	0.23157895	0.35263157	1.5578947	
12s71.aln	0.27272725	0.18181817	0.30578512	0.29752064	
82s5.aln	7.1801467	1.4044117	1.4816177	1.819853	
75.aln	NaN	2.5542169	4.415663	2.789157	
12s81.aln	0.0	0.013888889	0.0	0.0	
573.aln	0.2173913	0.2173913	0.2173913	0.13043478	
92s2.aln	0.0	1.8709676	1.8709676	2.064516	
62.aln	8.292135	2.6966293	2.1573033	10.044944	
BB11009.aln	1.7654109	12.164384	0.8125	161.37927	
22t59.aln	8.479382	25.309278	8.865979	16.14433	
12s64.aln	1.872	0.012	0.024	0.012	
BB11029.aln	6.7073174	32.64939	32.42683	42.79268	
24t5.aln	0.0	0.0040650405	0.0040650405	0.0	
22s54.aln	2.8603604	3.198198	2.8828828	1.472973	
22s24.aln	0.23529412	0.15686275	0.15686275	0.15686275	
43s3.aln	0.008064516	0.008064516	0.008064516	0.0	
130t3.aln	0.22535211	0.57746476	0.69014084	0.6760563	
108.aln	26.47577	7.790749	8.136564	9.154185	
120.aln	8.8052635	0.48421052	0.25263157	0.46842104	
12s70.aln	0.09913793	0.12931035	0.06034483	0.10775862	
119.aln	16.806723	7.201681	8.718487	4.9663863	
12s57.aln	0.008130081	0.024390243	0.12601626	0.016260162	
120s1.aln	0.05376344	0.18817204	0.06451613	0.13978495	
22s44.aln	1.4	0.53999996	1.2	1.315	
12s80.aln	NaN	0.06521739	0.052173913	0.1173913	
22t43.aln	0.03164557	0.044303797	0.044303797	0.044303797	
118s1.aln	0.0	0.16666667	0.16666667	0.0	
85t3.aln	0.056701027	0.21649484	0.21649484	0.056701027	
86s8.aln	0.0	0.0	0.0	0.0	
4t2.aln	0.09090909	0.17045453	0.13636364	0.13636364	
24t6.aln	0.03	0.02	0.01	0.01	
581s10.aln	5.6910114	2.0168538	1.8483145	1.8370786	
